,Location name,Address,Day,Times,What to do,Date added,gcode,lat,long
150,One Stop Mechanical - Mt Wellington,"15 Kalmia Street corner of, Sultan Street, Ellerslie, Auckland 1051",Monday 9 August,8.00 am - 8.30 am,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '15', 'short_name': '15', 'types': ['street_number']}, {'long_name': 'Kalmia Street', 'short_name': 'Kalmia St', 'types': ['route']}, {'long_name': 'Ellerslie', 'short_name': 'Ellerslie', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1051', 'short_name': '1051', 'types': ['postal_code']}], 'formatted_address': '15 Kalmia Street, Ellerslie, Auckland 1051, New Zealand', 'geometry': {'location': {'lat': -36.8981017, 'lng': 174.8075407}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.89675271970849, 'lng': 174.8088896802915}, 'southwest': {'lat': -36.89945068029149, 'lng': 174.8061917197085}}}, 'place_id': 'ChIJYcMaTORIDW0Rp439Q6HaPDU', 'plus_code': {'compound_code': '4R25+Q2 Auckland, New Zealand', 'global_code': '4VMP4R25+Q2'}, 'types': ['street_address']}]",-36.8981017,174.8075407
151,The Lula Inn,"149 Quay Street, Auckland Central, Auckland 1010",Saturday 7 August,11.45 pm - 12.30 am,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '149-159', 'short_name': '149-159', 'types': ['street_number']}, {'long_name': 'Quay Street', 'short_name': 'Quay St', 'types': ['route']}, {'long_name': 'Auckland CBD', 'short_name': 'Auckland CBD', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1010', 'short_name': '1010', 'types': ['postal_code']}], 'formatted_address': '149-159 Quay Street, Auckland CBD, Auckland 1010, New Zealand', 'geometry': {'location': {'lat': -36.8421952, 'lng': 174.7632175}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.8408462197085, 'lng': 174.7645664802915}, 'southwest': {'lat': -36.8435441802915, 'lng': 174.7618685197085}}}, 'place_id': 'ChIJ73Uy0flHDW0RhyVRJlpBtwc', 'plus_code': {'compound_code': '5Q57+47 Auckland, New Zealand', 'global_code': '4VMP5Q57+47'}, 'types': ['street_address']}]",-36.8421952,174.7632175
152,Bar 101,"18 Elliott Street, Auckland CBD, Auckland 1010",Saturday 7 August,10.30 pm - 11.45 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '18', 'short_name': '18', 'types': ['street_number']}, {'long_name': 'Elliott Street', 'short_name': 'Elliott St', 'types': ['route']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1010', 'short_name': '1010', 'types': ['postal_code']}], 'formatted_address': '18 Elliott Street, Auckland 1010, New Zealand', 'geometry': {'location': {'lat': -36.8497019, 'lng': 174.7641764}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.8483529197085, 'lng': 174.7655253802915}, 'southwest': {'lat': -36.8510508802915, 'lng': 174.7628274197085}}}, 'place_id': 'ChIJgwSVtfpHDW0RDEBCQPBMe-E', 'plus_code': {'compound_code': '5Q27+4M Auckland, New Zealand', 'global_code': '4VMP5Q27+4M'}, 'types': ['street_address']}]",-36.8497019,174.7641764
153,Downtown Carpark - Auckland CBD,"31 Customs Street West, Auckland CBD, Auckland CBD Auckland 1010",Saturday 7 August,9.45 pm - 10.15 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': '31', 'short_name': '31', 'types': ['street_number']}, {'long_name': 'Customs Street West', 'short_name': 'Customs St W', 'types': ['route']}, {'long_name': 'Auckland CBD', 'short_name': 'Auckland CBD', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1010', 'short_name': '1010', 'types': ['postal_code']}], 'formatted_address': '31 Customs Street West, Auckland CBD, Auckland 1010, New Zealand', 'geometry': {'location': {'lat': -36.84385049999999, 'lng': 174.7642392}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.8425015197085, 'lng': 174.7655881802915}, 'southwest': {'lat': -36.84519948029149, 'lng': 174.7628902197085}}}, 'place_id': 'ChIJzRtGjflHDW0RlCpeXrtHozQ', 'types': ['subpremise']}]",-36.84385049999999,174.7642392
154,Wairau Sports Bar,"75 View Road, Glenfield, Auckland 0627",Saturday 7 August,7.45 pm - 9.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '75', 'short_name': '75', 'types': ['street_number']}, {'long_name': 'View Road', 'short_name': 'View Rd', 'types': ['route']}, {'long_name': 'Wairau Valley', 'short_name': 'Wairau Valley', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0627', 'short_name': '0627', 'types': ['postal_code']}], 'formatted_address': '75 View Road, Wairau Valley, Auckland 0627, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.771714, 'lng': 174.7373045}, 'southwest': {'lat': -36.7720593, 'lng': 174.7369142}}, 'location': {'lat': -36.7718981, 'lng': 174.736984}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7705376697085, 'lng': 174.7384583302915}, 'southwest': {'lat': -36.7732356302915, 'lng': 174.7357603697085}}}, 'place_id': 'ChIJ343dy5g5DW0RaYgU6cReOLY', 'types': ['premise']}]",-36.7718981,174.736984
155,The Elephant Wrestler,"138 Hurstmere Road, Takapuna, Auckland 0622",Saturday 7 August,6.45 pm - 7.15 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '138', 'short_name': '138', 'types': ['street_number']}, {'long_name': 'Hurstmere Road', 'short_name': 'Hurstmere Rd', 'types': ['route']}, {'long_name': 'Takapuna', 'short_name': 'Takapuna', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0622', 'short_name': '0622', 'types': ['postal_code']}], 'formatted_address': '138 Hurstmere Road, Takapuna, Auckland 0622, New Zealand', 'geometry': {'location': {'lat': -36.784919, 'lng': 174.7732252}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.78357001970849, 'lng': 174.7745741802915}, 'southwest': {'lat': -36.78626798029149, 'lng': 174.7718762197085}}}, 'place_id': 'ChIJfQBWD9g5DW0RHIr_DEtmCik', 'plus_code': {'compound_code': '6Q8F+27 Auckland, New Zealand', 'global_code': '4VMP6Q8F+27'}, 'types': ['street_address']}]",-36.784919,174.7732252
156,The Bottle-O Glenfield,"47 Downing Street, Glenfield, Auckland 0629",Saturday 7 August,3.15 pm - 3.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '47', 'short_name': '47', 'types': ['street_number']}, {'long_name': 'Downing Street', 'short_name': 'Downing St', 'types': ['route']}, {'long_name': 'Glenfield', 'short_name': 'Glenfield', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0629', 'short_name': '0629', 'types': ['postal_code']}], 'formatted_address': '47 Downing Street, Glenfield, Auckland 0629, New Zealand', 'geometry': {'location': {'lat': -36.7836327, 'lng': 174.7224994}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7822837197085, 'lng': 174.7238483802915}, 'southwest': {'lat': -36.78498168029149, 'lng': 174.7211504197085}}}, 'place_id': 'ChIJyes_YAU5DW0R8D5Lvo8WNOY', 'types': ['subpremise']}]",-36.7836327,174.7224994
157,Subway Smales Farm,"74 Taharoto Road, Takapuna, Auckland 0622",Saturday 7 August,1.00 pm - 1.15 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '74', 'short_name': '74', 'types': ['street_number']}, {'long_name': 'Taharoto Road', 'short_name': 'Taharoto Rd', 'types': ['route']}, {'long_name': 'Takapuna', 'short_name': 'Takapuna', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0622', 'short_name': '0622', 'types': ['postal_code']}], 'formatted_address': '74 Taharoto Road, Takapuna, Auckland 0622, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.7851217, 'lng': 174.7528522}, 'southwest': {'lat': -36.7852875, 'lng': 174.7526849}}, 'location': {'lat': -36.7852043, 'lng': 174.7527541}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7838556197085, 'lng': 174.7541175302915}, 'southwest': {'lat': -36.7865535802915, 'lng': 174.7514195697085}}}, 'place_id': 'ChIJEaJTAcg5DW0RTbc6dkBTKKo', 'types': ['premise']}]",-36.7852043,174.7527541
158,Bunnings Warehouse Glenfield,"Cnr Wairau and Archers Road, Wairau Valley, Auckland, 0627",Saturday 7 August,12.45 pm - 1.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': 'Wairau Road & Archers Road', 'short_name': 'Wairau Rd & Archers Rd', 'types': ['intersection']}, {'long_name': 'Wairau Valley', 'short_name': 'Wairau Valley', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0627', 'short_name': '0627', 'types': ['postal_code']}], 'formatted_address': 'Wairau Rd & Archers Rd, Wairau Valley, Auckland 0627, New Zealand', 'geometry': {'location': {'lat': -36.7770044, 'lng': 174.744161}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -36.7756554197085, 'lng': 174.7455099802915}, 'southwest': {'lat': -36.7783533802915, 'lng': 174.7428120197085}}}, 'place_id': 'EkFXYWlyYXUgUmQgJiBBcmNoZXJzIFJkLCBXYWlyYXUgVmFsbGV5LCBBdWNrbGFuZCAwNjI3LCBOZXcgWmVhbGFuZCJmImQKFAoSCfNKVvq8OQ1tEfVNt-EiqKIOEhQKEgnzSlb6vDkNbRH1TbfhIqiiDhoUChIJSSsRNKI5DW0RaqW1mCPVngYaFAoSCZ8bN4OoOQ1tEaIBRlzx_d0WIgoNREYU6hXK1ydo', 'types': ['intersection']}]",-36.7770044,174.744161
159,Blockhouse Bay Christian Kindergarten,"76 Dundale Avenue, Blockhouse Bay, Auckland 0600",Friday 6 August,9.00 am - 3.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': '76', 'short_name': '76', 'types': ['street_number']}, {'long_name': 'Dundale Avenue', 'short_name': 'Dundale Ave', 'types': ['route']}, {'long_name': 'Blockhouse Bay', 'short_name': 'Blockhouse Bay', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0600', 'short_name': '0600', 'types': ['postal_code']}], 'formatted_address': '76 Dundale Avenue, Blockhouse Bay, Auckland 0600, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.9126719, 'lng': 174.7154625}, 'southwest': {'lat': -36.9130096, 'lng': 174.7148897}}, 'location': {'lat': -36.9128191, 'lng': 174.7151883}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9114917697085, 'lng': 174.7165250802915}, 'southwest': {'lat': -36.9141897302915, 'lng': 174.7138271197085}}}, 'place_id': 'ChIJE5af75lGDW0RuKtw9C1VxaE', 'types': ['premise']}]",-36.9128191,174.7151883
160,Lynn Mall,"3058 Great North Road, New Lynn, Auckland, 0600",Friday 6 August,6.00 pm - 7.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': '3058', 'short_name': '3058', 'types': ['street_number']}, {'long_name': 'Great North Road', 'short_name': 'Great N Rd', 'types': ['route']}, {'long_name': 'New Lynn', 'short_name': 'New Lynn', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0600', 'short_name': '0600', 'types': ['postal_code']}], 'formatted_address': '3058 Great North Road, New Lynn, Auckland 0600, New Zealand', 'geometry': {'location': {'lat': -36.9064518, 'lng': 174.6849146}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9051028197085, 'lng': 174.6862635802915}, 'southwest': {'lat': -36.9078007802915, 'lng': 174.6835656197085}}}, 'place_id': 'ChIJk3eGMkxBDW0R_Lx4tvPBPIQ', 'plus_code': {'compound_code': '3MVM+CX Auckland, New Zealand', 'global_code': '4VMP3MVM+CX'}, 'types': ['street_address']}]",-36.9064518,174.6849146
161,Starbucks Queen Street,"220 Queen Street, Auckland CBD, Auckland 1010",Thursday 5 August,12.15 pm - 12.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '220', 'short_name': '220', 'types': ['street_number']}, {'long_name': 'Queen Street', 'short_name': 'Queen St', 'types': ['route']}, {'long_name': 'Auckland CBD', 'short_name': 'Auckland CBD', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1010', 'short_name': '1010', 'types': ['postal_code']}], 'formatted_address': '220 Queen Street, Auckland CBD, Auckland 1010, New Zealand', 'geometry': {'location': {'lat': -36.8493077, 'lng': 174.7654655}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.8479587197085, 'lng': 174.7668144802915}, 'southwest': {'lat': -36.85065668029149, 'lng': 174.7641165197085}}}, 'place_id': 'ChIJTaLc1_pHDW0RVY5I5Fh2B0w', 'plus_code': {'compound_code': '5Q28+75 Auckland, New Zealand', 'global_code': '4VMP5Q28+75'}, 'types': ['street_address']}]",-36.8493077,174.7654655
162,Bus 25B City Centre to Blockhouse Bay,Bus 25B,Thursday 5 August,12.45 pm - 1.15 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,[],,
163,Mitre 10 MEGA New Lynn,"5 Astley Avenue, New Lynn, Auckland, 0600",Thursday 5 August,12.30 pm - 1.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '5', 'short_name': '5', 'types': ['street_number']}, {'long_name': 'Astley Avenue', 'short_name': 'Astley Ave', 'types': ['route']}, {'long_name': 'New Lynn', 'short_name': 'New Lynn', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0600', 'short_name': '0600', 'types': ['postal_code']}], 'formatted_address': '5 Astley Avenue, New Lynn, Auckland 0600, New Zealand', 'geometry': {'location': {'lat': -36.9121211, 'lng': 174.6877906}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9107721197085, 'lng': 174.6891395802915}, 'southwest': {'lat': -36.9134700802915, 'lng': 174.6864416197085}}}, 'place_id': 'ChIJ5fupklJBDW0RFYQUrqSYkhk', 'plus_code': {'compound_code': '3MQQ+54 Auckland, New Zealand', 'global_code': '4VMP3MQQ+54'}, 'types': ['street_address']}]",-36.9121211,174.6877906
164,Blockhouse Bay Christian Kindergarten,"76 Dundale Avenue, Blockhouse Bay, Auckland 0600",Thursday 5 August,9.00 am - 3.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': '76', 'short_name': '76', 'types': ['street_number']}, {'long_name': 'Dundale Avenue', 'short_name': 'Dundale Ave', 'types': ['route']}, {'long_name': 'Blockhouse Bay', 'short_name': 'Blockhouse Bay', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0600', 'short_name': '0600', 'types': ['postal_code']}], 'formatted_address': '76 Dundale Avenue, Blockhouse Bay, Auckland 0600, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.9126719, 'lng': 174.7154625}, 'southwest': {'lat': -36.9130096, 'lng': 174.7148897}}, 'location': {'lat': -36.9128191, 'lng': 174.7151883}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9114917697085, 'lng': 174.7165250802915}, 'southwest': {'lat': -36.9141897302915, 'lng': 174.7138271197085}}}, 'place_id': 'ChIJE5af75lGDW0RuKtw9C1VxaE', 'types': ['premise']}]",-36.9128191,174.7151883
165,Countdown Lynfield,"570 Hillsborough Road, Mount Roskill, 1041",Wednesday 4 August,2.45 pm - 3.05 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '570', 'short_name': '570', 'types': ['street_number']}, {'long_name': 'Hillsborough Road', 'short_name': 'Hillsborough Rd', 'types': ['route']}, {'long_name': 'Mount Roskill', 'short_name': 'Mount Roskill', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1041', 'short_name': '1041', 'types': ['postal_code']}], 'formatted_address': '570 Hillsborough Road, Mount Roskill, Auckland 1041, New Zealand', 'geometry': {'location': {'lat': -36.9258726, 'lng': 174.7227564}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9245236197085, 'lng': 174.7241053802915}, 'southwest': {'lat': -36.9272215802915, 'lng': 174.7214074197085}}}, 'place_id': 'ChIJ68B29ihEDW0R7torKwVWof0', 'plus_code': {'compound_code': '3PFF+M4 Auckland, New Zealand', 'global_code': '4VMP3PFF+M4'}, 'types': ['street_address']}]",-36.9258726,174.7227564
166,Blockhouse Bay Christian Kindergarten,"76 Dundale Avenue, Blockhouse Bay, Auckland, 0600",Wednesday 4 August,10.00 am - 11.00 am,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '76', 'short_name': '76', 'types': ['street_number']}, {'long_name': 'Dundale Avenue', 'short_name': 'Dundale Ave', 'types': ['route']}, {'long_name': 'Blockhouse Bay', 'short_name': 'Blockhouse Bay', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0600', 'short_name': '0600', 'types': ['postal_code']}], 'formatted_address': '76 Dundale Avenue, Blockhouse Bay, Auckland 0600, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.9126719, 'lng': 174.7154625}, 'southwest': {'lat': -36.9130096, 'lng': 174.7148897}}, 'location': {'lat': -36.9128191, 'lng': 174.7151883}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9114917697085, 'lng': 174.7165250802915}, 'southwest': {'lat': -36.9141897302915, 'lng': 174.7138271197085}}}, 'place_id': 'ChIJE5af75lGDW0RuKtw9C1VxaE', 'types': ['premise']}]",-36.9128191,174.7151883
167,Blockhouse Bay Christian Kindergarten,"76 Dundale Avenue, Blockhouse Bay, Auckland 0600",Wednesday 4 August,9.00 am - 3.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': '76', 'short_name': '76', 'types': ['street_number']}, {'long_name': 'Dundale Avenue', 'short_name': 'Dundale Ave', 'types': ['route']}, {'long_name': 'Blockhouse Bay', 'short_name': 'Blockhouse Bay', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0600', 'short_name': '0600', 'types': ['postal_code']}], 'formatted_address': '76 Dundale Avenue, Blockhouse Bay, Auckland 0600, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.9126719, 'lng': 174.7154625}, 'southwest': {'lat': -36.9130096, 'lng': 174.7148897}}, 'location': {'lat': -36.9128191, 'lng': 174.7151883}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9114917697085, 'lng': 174.7165250802915}, 'southwest': {'lat': -36.9141897302915, 'lng': 174.7138271197085}}}, 'place_id': 'ChIJE5af75lGDW0RuKtw9C1VxaE', 'types': ['premise']}]",-36.9128191,174.7151883
168,Bus 25B City Centre to Blockhouse Bay,Bus 25B,Tuesday 3 August,2.00 pm - 2.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,[],,
169,Sumthin Dumplin,"18 Wellesley Street East, Auckland Central, 1010",Tuesday 3 August,1.45 pm - 2.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': '18', 'short_name': '18', 'types': ['street_number']}, {'long_name': 'Wellesley Street East', 'short_name': 'Wellesley St E', 'types': ['route']}, {'long_name': 'Auckland CBD', 'short_name': 'Auckland CBD', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1010', 'short_name': '1010', 'types': ['postal_code']}], 'formatted_address': '18 Wellesley Street East, Auckland CBD, Auckland 1010, New Zealand', 'geometry': {'location': {'lat': -36.850983, 'lng': 174.7654984}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.8496340197085, 'lng': 174.7668473802915}, 'southwest': {'lat': -36.8523319802915, 'lng': 174.7641494197085}}}, 'place_id': 'ChIJORaeIOVHDW0RxnZobZklrDg', 'plus_code': {'compound_code': '4QX8+J5 Auckland, New Zealand', 'global_code': '4VMP4QX8+J5'}, 'types': ['street_address']}]",-36.850983,174.7654984
170,Blockhouse Bay Christian Kindergarten,"76 Dundale Avenue, Blockhouse Bay, Auckland 0600",Tuesday 3 August,9.00 am - 3.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': '76', 'short_name': '76', 'types': ['street_number']}, {'long_name': 'Dundale Avenue', 'short_name': 'Dundale Ave', 'types': ['route']}, {'long_name': 'Blockhouse Bay', 'short_name': 'Blockhouse Bay', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0600', 'short_name': '0600', 'types': ['postal_code']}], 'formatted_address': '76 Dundale Avenue, Blockhouse Bay, Auckland 0600, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.9126719, 'lng': 174.7154625}, 'southwest': {'lat': -36.9130096, 'lng': 174.7148897}}, 'location': {'lat': -36.9128191, 'lng': 174.7151883}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9114917697085, 'lng': 174.7165250802915}, 'southwest': {'lat': -36.9141897302915, 'lng': 174.7138271197085}}}, 'place_id': 'ChIJE5af75lGDW0RuKtw9C1VxaE', 'types': ['premise']}]",-36.9128191,174.7151883
